iter	Passed	Remaining
898	31741	3566
899	31773	3530
900	31805	3494
901	31841	3459
902	31873	3423
903	31910	3388
904	31938	3352
905	31971	3317
906	32002	3281
907	32034	3245
908	32092	3212
909	32128	3177
910	32165	3142
911	32197	3106
912	32237	3071
913	32271	3036
914	32312	3001
915	32349	2966
916	32382	2930
917	32418	2895
918	32454	2860
919	32494	2825
920	32522	2789
921	32564	2754
922	32599	2719
923	32632	2684
924	32669	2648
925	32702	2613
926	32738	2578
927	32772	2542
928	32807	2507
929	32841	2471
930	32871	2436
931	32906	2400
932	32941	2365
933	32976	2330
934	33008	2294
935	33041	2259
936	33073	2223
937	33105	2188
938	33137	2152
939	33172	2117
940	33207	2082
941	33240	2046
942	33274	2011
943	33312	1976
944	33346	1940
945	33382	1905
946	33419	1870
947	33453	1835
948	33489	1799
949	33523	1764
950	33554	1728
951	33595	1693
952	33645	1659
953	33678	1623
954	33713	1588
955	33753	1553
956	33792	1518
957	33834	1483
958	33882	1448
959	33918	1413
960	33962	1378
961	34004	1343
962	34043	1308
963	34076	1272
964	34119	1237
965	34151	1202
966	34192	1166
967	34230	1131
968	34270	1096
969	34304	1060
970	34337	1025
971	34374	990
972	34407	954
973	34446	919
974	34484	884
975	34528	849
976	34566	813
977	34603	778
978	34652	743
979	34690	707
980	34725	672
981	34762	637
982	34796	601
983	34828	566
984	34867	530
985	34902	495
986	34938	460
987	34971	424
988	35004	389
989	35038	353
990	35074	318
991	35110	283
992	35146	247
993	35191	212
994	35228	177
995	35266	141
996	35301	106
997	35338	70
998	35372	35
999	35408	0
